web-scraper-order,web-scraper-start-url,name,rank,unit,death_date,profile_link,profile_link-href,image_url-src
"1753822410-1","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","רס""ל
                        ויטלי סקיפקביץ'
                        ז""ל","רס""ל","עוצבת הקומנדו","נפל בכ""ג בתשרי התשפ""ד (07 באוקטובר 2023)","רס""ל
                        ויטלי סקיפקביץ'
                        ז""ל
                    
                        
                            עוצבת הקומנדו
                        

                        נפל בכ""ג בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%95%D7%99%D7%98%D7%9C%D7%99-%D7%A1%D7%A7%D7%99%D7%A4%D7%A7%D7%91%D7%99%D7%A5/","/media/orsguzv5/ויטלי-סקיפקביץ.jpeg?rxy=0.56830594422387293,0.3601335538896534&width=157&height=211"
"1753822410-2","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","רס""ם (במיל')
                        עמרי מיכאלי
                        ז""ל","רס""ם (במיל')","עוצבת הקומנדו","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רס""ם (במיל')
                        עמרי מיכאלי
                        ז""ל
                    
                        
                            עוצבת הקומנדו
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%A2%D7%9E%D7%A8%D7%99-%D7%9E%D7%99%D7%9B%D7%90%D7%9C%D7%99/","/media/rcleiogp/עמרי-מיכאלי.jpeg?rxy=0.4837139091435403,0.4269207286743446&width=157&height=211"
"1753822410-3","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","סמל
                        אורי לוקר
                        ז""ל","סמל","חטיבת גולני","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמל
                        אורי לוקר
                        ז""ל
                    
                        
                            חטיבת גולני
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%95%D7%A8%D7%99-%D7%9C%D7%95%D7%A7%D7%A8/","/media/ibzdmg0z/whatsapp-image-2023-10-29-at-19-27-28-1.jpeg?rxy=0.55983493810178819,0.41071664247063483&width=157&height=211"
"1753822410-4","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","סמל
                        איתמר עיש
                        ז""ל","סמל","פיקוד העורף","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמל
                        איתמר עיש
                        ז""ל
                    
                        
                            פיקוד העורף
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%99%D7%AA%D7%9E%D7%A8-%D7%A2%D7%99%D7%A9/","/media/urbh2o2i/איתמר-עאיש.jpeg?rxy=0.33589735764723555,0.24351849026150174&width=157&height=211"
"1753822410-5","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","רס""ל
                        אהד כהן
                        ז""ל","רס""ל","יחידת שלדג","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רס""ל
                        אהד כהן
                        ז""ל
                    
                        
                            יחידת שלדג
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%94%D7%93-%D7%9B%D7%94%D7%9F/","/media/simd5oyy/אהד-כהן.jpeg?rxy=0.39852457585029605,0.26552834967462419&width=157&height=211"
"1753822410-6","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","סמ""ר
                        אילי גמזו
                        ז""ל","סמ""ר","חטיבת הצנחנים","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמ""ר
                        אילי גמזו
                        ז""ל
                    
                        
                            חטיבת הצנחנים
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%99%D7%9C%D7%99-%D7%92%D7%9E%D7%96%D7%95/","/media/odxcochg/אילי-גמזו.jpeg?rxy=0.5614358732219431,0.21916026477672959&width=157&height=211"
"1753822410-7","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","רס""ן
                        אריה שלמה צירינג
                        ז""ל","רס""ן","חטיבת המרום","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רס""ן
                        אריה שלמה צירינג
                        ז""ל
                    
                        
                            חטיבת המרום
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%A8%D7%99%D7%94-%D7%A9%D7%9C%D7%9E%D7%94-%D7%A6%D7%99%D7%A8%D7%99%D7%A0%D7%92/","/media/de3bvvki/אריה-שלמה-צירינג.jpeg?rxy=0.58269857315180507,0.28976994016130075&width=157&height=211"
"1753822410-8","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","רס""ן
                        טל גרושקה
                        ז""ל","רס""ן","חטיבת הנח""ל","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רס""ן
                        טל גרושקה
                        ז""ל
                    
                        
                            חטיבת הנח""ל
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%98%D7%9C-%D7%92%D7%A8%D7%95%D7%A9%D7%A7%D7%94/","/media/m5mhkqze/טל-גרושקה.jpeg?rxy=0.47650266553534837,0.18788759800866298&width=157&height=211"
"1753822410-9","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","רב""ט
                        אופיר דוידיאן
                        ז""ל","רב""ט","פיקוד העורף","נפלה בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רב""ט
                        אופיר דוידיאן
                        ז""ל
                    
                        
                            פיקוד העורף
                        

                        נפלה בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרה ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%95%D7%A4%D7%99%D7%A8-%D7%93%D7%95%D7%99%D7%93%D7%99%D7%90%D7%9F/","/media/5etaze0k/אופיר-דוידיאן.jpeg?rxy=0.607650206518955,0.29641554283678134&width=157&height=211"
"1753822410-10","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=87","סמ""ר
                        איתי אליהו מרציאנו
                        ז""ל","סמ""ר","חטיבת הצנחנים","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמ""ר
                        איתי אליהו מרציאנו
                        ז""ל
                    
                        
                            חטיבת הצנחנים
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%99%D7%AA%D7%99-%D7%90%D7%9C%D7%99%D7%94%D7%95-%D7%9E%D7%A8%D7%A6%D7%99%D7%90%D7%A0%D7%95/","/media/uquj21xa/איתי-אליהו-מרציאנו.jpeg?rxy=0.38011947856603778,0.1677294921875&width=157&height=211"
