id,timeline_point,timeline_type,content_hebrew,cta_continue_he,cta_back_he,navigation_type,navigation_target,conditions
current_date,0,days_from_today,מאז תחילת שלב התמרון במלחמה נהרגו {{total_count}} חיילים.,המשך,חזור,navigate_to,recent_deaths,
recent_deaths,{{days_since_last_deaths}},days_from_today,{{last_deaths_text}},המשך,חזור,navigate_to,month_before_hypothetical,
month_before_hypothetical,31,days_from_today,"אם המלחמה הייתה מסתיימת לפני חודש, ייתכן שהם ועוד {{soldiers_died_last_31_days}} חיילים היו בבית היום עם המשפחות שלהם.",המשך,התחלה,navigate_to,war_overview,
war_overview,max,days_from_today,"<p>ב27 לאוקטובר 2023 צה""ל החל את התמרון הקרקעי בעזה.</p><p>{{total_count}} חיילים עוד היו בחיים.</p>",המשך,חזור,navigate_to,war_continuation,
war_continuation,max,days_from_today,מאז ועד היום היו מספר הזדמנויות לסיים את המלחמה:,המשך,חזור,navigate_to,opportunity_1,
opportunity_1,624,days_from_today,נובמבר 2023 - תחילת הפסקת אש של 7 ימים,המשך,חזור,navigate_to,opportunity_2,
opportunity_2,586,days_from_today,ינואר 2024 - נסיגה משמעותית מצפון עזה,המשך,חזור,navigate_to,opportunity_3,
opportunity_3,585,days_from_today,ינואר 2024 - נסיגה גדולה של 5 חטיבות מעזה,המשך,חזור,navigate_to,opportunity_4,
opportunity_4,526,days_from_today,מרץ 2024 - נתניהו שקל להפסיק את המלחמה,המשך,חזור,navigate_to,opportunity_5,
opportunity_5,435,days_from_today,מאי 2024 - הצעת ביידן להפסקת אש - נתניהו תמך בתחילה,המשך,חזור,navigate_to,opportunity_6,
opportunity_6,419,days_from_today,יוני 2024 - הכרזה על השלב הסופי של הלחימה,המשך,חזור,navigate_to,opportunity_7,
opportunity_7,412,days_from_today,יוני 2024 - נסיגה גדולה מחלקים מעזה,המשך,חזור,navigate_to,opportunity_8,
opportunity_8,297,days_from_today,אוקטובר 2024 - חיסול יחיא סינוואר,המשך,חזור,navigate_to,opportunity_9,
opportunity_9,293,days_from_today,אוקטובר 2024 - ציפיות להפסקת אש לאחר הריגת סינוואר,המשך,חזור,navigate_to,opportunity_10,
opportunity_10,277,days_from_today,נובמבר 2024 - השפעת בחירת טראמפ על המשא ומתן,המשך,חזור,navigate_to,opportunity_11,
opportunity_11,237,days_from_today,דצמבר 2024 - התגברות המשא ומתן הסופי,המשך,חזור,navigate_to,netanyahu_decision,
netanyahu_decision,146,days_from_today,בתאריך {{political_event_date}} נתניהו שקל להפסיק את המלחמה,המשך,חזור,navigate_to,coalition_threat,
coalition_threat,147,days_from_today,בתאריך {{coalition_threat_date}} - {{coalition_threat_person}} איים לפרק את הקואליציה אם המלחמה תיפסק,המשך,חזור,navigate_to,coalition_threats_count,
coalition_threats_count,200,days_from_today,מאז היו לפחות {{coalition_threats_count}} איומים לפרק את הקואליציה אם תיפסק המלחמה,המשך,חזור,navigate_to,days_since_decision,
days_since_decision,250,days_from_today,{{days_since_decision}} ימים עברו מאז שנתניהו החליט להמשיך את המלחמה.,המשך,חזור,navigate_to,could_be_alive,
could_be_alive,300,days_from_today,אם המלחמה הייתה מסתיימת אז {{could_be_alive_count}} חיילים יכלו להיות היום בחיים בבית עם המשפחות שלהם.,המשך,חזור,navigate_to,random_names,
random_names,320,days_from_today,{{random_names}},המשך,חזור,navigate_to,personal_enlisted,
personal_enlisted,643,days_from_today,אני התגייסתי אחרי השביעי באוקטובר ושמעתי כמעט את כל מה שקרה בגזרת האוגדה שלי במשמרת שלי.,המשך,חזור,navigate_to,radio_reports,
radio_reports,580,days_from_today,"במשך שלושה חודשים, כל היום הייתי שומע ברדיו מאמצי חילוץ שמתארים חיילים עולים באש בטנקים חיילים קטועי גפיים מועלים על מסוקים ומאמצי חילוץ שבוטלו כי הפרחים הפכו להרדופים.",המשך,חזור,navigate_to,january_service_end,
january_service_end,574,days_from_today,סיימתי את הסבב שלי בינואר 2024 הייתי משוכנע שזה הסוף וכולם הולכים סוף סוף הביתה.,המשך,חזור,navigate_to,fallen_since_january,
fallen_since_january,0,days_from_today,מאז נהרגו עוד {{fallen_since_january}} חיילים.,המשך,חזור,navigate_to,fallen_last_month,
fallen_last_month,30,days_from_today,"רק לפני חודש, {{last_month_names}} ועוד {{last_month_remaining_count}} חיילים עוד היו בחיים",המשך,חזור,navigate_to,monthly_average,
monthly_average,0,days_from_today,"כל חודש שהמלחמה מתמשכת, נהרגים בממוצע {{average_monthly_casualties}} חיילים",סיום,חזור,,,
