id,date,days_from_start,title_hebrew,description_hebrew,source,category,stance
war_start,7/10/2023,0,תחילת המלחמה - 7 באוקטובר,התקפת חמאס על ישראל ותחילת מלחמת חרבות ברזל,https://www.reuters.com/world/middle-east/how-hamas-attack-israel-unfolded-2023-10-07/,military,escalation
ground_invasion_gaza,27/10/2023,20,תחילת הפלישה היבשתית לעזה,כוחות צה״ל נכנסו לעזה במבצע יבשתי,https://www.reuters.com/world/middle-east/how-two-families-crossed-rubble-gaza-fleeing-war-hunger-2025-07-24/,military,escalation
truce_start,24/11/2023,48,תחילת הפסקת אש של 7 ימים,הפסקת אש זמנית וחלקית נסיגה מחלקים מעזה לשחרור חטופים,https://www.reuters.com/world/middle-east/hamas-israel-truce-begins-2023-11-24/,diplomatic,de-escalation
truce_end,1/12/2023,55,סיום ההפסקה וחידוש הלחימה,"צה""ל חידש את הלחימה היבשתית בכוח מלא לאחר סיום ההפסקה",https://www.bbc.com/news/world-middle-east-67576692,military,escalation
netanyahu_considers_ceasefire,1/3/2024,146,נתניהו שקל להפסיק את המלחמה,דיווחים על כך שנתניהו שקל הצעות הפסקת אש בתקופה זו,https://www.timesofisrael.com/liveblog-march-01-2024-israel-endorses-us-plan-to-extend-ceasefire/,political,de-escalation
smotrich_coalition_threat_1,2/3/2024,147,סמוטריץ' איים לפרק את הקואליציה,סמוטריץ' איים לפרק את הקואליציה אם המלחמה תיפסק,https://www.timesofisrael.com/liveblog-february-17-2025-report-smotrich-threat-if-fighting-not-resumed/,political,escalation
ceasefire_reject_1,15/3/2024,161,דחיית הצעת הפסקת אש,ישראל דחתה הצעת הפסקת אש של חמאס,https://www.reuters.com/world/middle-east/israels-prime-ministers-office-new-hamas-truce-position-still-unrealistic-2024-03-15/,political,escalation
ben_gvir_coalition_threat_1,15/3/2024,161,בן גביר איים לפרק את הקואליציה,בן גביר איים לפרק את הקואליציה אם המלחמה תיפסק,https://www.timesofisrael.com/netanyahu-said-to-have-shelved-april-2024-gaza-truce-after-smotrich-threat-to-government/,political,escalation
khan_younis_withdrawal,7/4/2024,183,נסיגה מחלקים מחאן יונס,"צה""ל נסוג מחלקים נרחבים מחאן יונס",https://www.reuters.com/world/middle-east/israel-pulls-troops-southern-gaza-rafah-operation-looms-2024-04-07/,military,de-escalation
rafah_operation,7/5/2024,184,תחילת מבצע רפיח,כוחות צה״ל השתלטו על מעבר רפיח והחלו בפעילות קרקעית,https://www.reuters.com/world/middle-east/rafah-live-israel-takes-control-gazas-rafah-crossing-2024-05-07/,military,escalation
rafah_invasion,7/5/2024,184,פלישה לרפיח למרות אזהרות אמריקאיות,"צה""ל פתח במבצע רפיח למרות התנגדות אמריקאית",https://www.nytimes.com/2024/05/07/world/middleeast/israel-rafah-invasion.html,military,escalation
smotrich_coalition_threat_2,10/5/2024,216,סמוטריץ' איום נוסף לפירוק הקואליציה,איום נוסף של סמוטריץ' לפרק את הקואליציה,https://www.timesofisrael.com/netanyahu-said-to-have-shelved-april-2024-gaza-truce-after-smotrich-threat-to-government/,political,escalation
philadelphi_corridor,28/5/2024,205,כיבוש מסדרון פילדלפי,צה״ל השתלט על מסדרון הגבול עם מצרים לרפיח,https://www.reuters.com/world/middle-east/israel-has-tactical-control-gaza-egypt-border-corridor-military-official-says-2024-05-29/,military,escalation
north_escalation_warning,5/6/2024,242,אזהרה להסלמה בצפון,נתניהו הזהיר שישראל מוכנה להסלמה גדולה בצפון,https://www.jpost.com/breaking-news/article-806393,political,escalation
final_phase_declaration,16/6/2024,253,הכרזה על השלב הסופי של הלחימה,נתניהו הכריז על תחילת השלב הסופי של הלחימה האינטנסיבית,https://www.bbc.com/news/world-middle-east-69221021,political,de-escalation
major_hezbollah_escalation,18/6/2024,255,הסלמה גדולה עם חיזבאללה,"חיזבאללה ירה מעל 200 רקטות וצה""ל הפגיז יישובי גבול",https://www.bbc.com/news/world-middle-east-69231285,military,escalation
major_withdrawal,23/6/2024,260,נסיגה גדולה מחלקים מעזה,"צה""ל נסוג כוחות גדולים ועבר לפעילות פשיטות ממוקדת",https://www.aljazeera.com/news/2024/6/23/israel-says-major-combat-phase-in-gaza-is-ending,military,de-escalation
deep_lebanon_strikes,1/7/2024,268,תקיפות עמוקות בלבנון,"צה""ל אישר תקיפות אוויר וארטילריה עמוק בלבנון",https://www.reuters.com/world/middle-east/israeli-air-strikes-lebanon-hezbollah-2024-07-01/,military,escalation
ceasefire_reject_2,15/7/2024,283,דחיית הצעת הפסקת אש נוספת אחרי איום לפירוק הקואליציה ,נתניהו דחה הצעת הפסקת אש נוספת,https://www.timesofisrael.com/netanyahu-said-to-have-shelved-april-2024-gaza-truce-after-smotrich-threat-to-government/,political,escalation
nyt_netanyahu_prolonged,28/7/2025,642,ניו יורק טיימס: נתניהו האריך את המלחמה מסיבות פוליטיות,דיווח מפורט על האופן שבו נתניהו האריך את המלחמה למטרות פוליטיות,NYT Article,political,escalation
trump_netanyahu_politics,29/7/2025,643,טראמפ: נתניהו מאריך את המלחמה מסיבות פוליטיות,שני פקידים אמריקאים אמרו לאטלנטיק כי הבית הלבן מאמין גם שנתניהו נוקט צעדים שמפריעים לעסקת הפסקת אש פוטנציאלית,https://www.jpost.com/international/article-862909,political,escalation
